,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
35,1936,18.06,20.0,22.84,26.27,28.97,27.41,27.12,26.8,26.44,24.73,21.72,19.13
36,1937,18.02,20.21,22.6,25.83,28.4,28.69,27.0,27.18,26.43,23.98,21.34,18.09
37,1938,18.15,18.77,23.61,26.91,28.97,27.33,27.16,26.83,26.14,24.41,20.62,18.9
38,1939,18.4,19.79,21.98,25.67,28.63,28.11,27.22,26.92,26.4,24.66,21.32,19.03
39,1940,18.1,19.88,22.23,25.88,28.38,28.29,27.42,26.44,26.19,24.74,22.03,18.97
40,1941,18.33,20.28,24.24,27.49,28.89,28.52,27.54,27.43,26.29,25.47,21.76,19.67
41,1942,18.07,20.06,23.87,26.79,28.82,28.81,27.28,26.62,26.03,24.56,21.85,18.75
42,1943,18.32,19.47,23.31,25.56,27.82,27.8,27.16,26.66,26.26,24.2,21.81,19.02
43,1944,18.0,19.07,22.54,25.63,28.93,28.39,27.42,27.11,26.08,24.49,21.51,19.32
44,1945,17.33,19.37,23.28,25.52,28.31,28.81,27.39,26.98,26.51,24.36,21.15,17.98
45,1946,18.31,20.73,23.02,26.86,28.48,28.14,27.47,27.04,26.31,24.98,21.6,20.08
46,1947,17.72,19.84,23.55,26.88,28.82,28.82,27.41,27.46,26.28,24.67,21.78,19.07
47,1948,18.25,19.36,22.72,26.68,28.71,28.16,27.15,26.72,26.28,24.84,21.58,18.79
48,1949,19.01,19.36,23.37,26.71,28.35,27.86,27.24,26.83,26.41,24.7,20.79,18.4
49,1950,18.36,19.05,22.45,25.72,28.34,28.21,27.03,26.63,25.6,24.07,21.03,18.33
50,1951,19.09,19.36,23.13,25.19,28.07,27.74,27.2,27.09,26.72,25.73,22.34,19.3
51,1952,18.67,21.05,22.73,26.96,28.41,28.36,27.37,26.79,26.48,24.72,21.41,19.18
52,1953,18.11,20.86,24.9,26.8,28.99,28.79,27.35,26.91,26.24,24.67,21.49,19.85
53,1954,17.77,20.45,23.66,26.99,28.84,28.28,27.03,26.86,26.19,23.52,20.99,18.94
54,1955,18.42,20.5,23.93,25.5,27.31,28.01,27.07,26.63,26.19,24.22,21.14,18.69
55,1956,18.01,19.66,23.44,26.72,28.72,27.54,26.58,26.23,26.26,24.05,21.23,18.97
56,1957,18.2,19.27,22.31,25.68,27.76,28.13,27.43,26.75,26.28,24.35,21.85,19.6
57,1958,19.5,20.51,23.93,27.23,28.2,29.01,27.6,26.74,26.37,24.74,21.98,19.65
58,1959,18.39,19.47,23.66,26.87,28.39,28.47,26.96,27.06,26.27,24.98,21.57,19.44
59,1960,18.31,21.13,22.65,26.17,28.29,28.5,27.33,27.2,26.33,24.58,21.35,19.59
60,1961,18.89,19.08,23.84,26.42,28.07,27.8,27.08,26.89,26.45,24.23,20.98,18.3
61,1962,17.54,20.28,23.31,26.45,27.97,28.25,27.53,26.88,25.92,24.12,21.38,18.9
62,1963,17.59,20.55,23.31,25.69,27.71,28.24,27.48,26.83,26.26,24.9,21.99,19.23
63,1964,17.71,19.95,24.25,26.82,28.06,28.03,26.77,26.82,25.99,24.8,21.15,18.78
64,1965,18.47,19.96,22.81,25.35,27.57,28.44,27.14,26.49,26.25,24.99,22.16,19.15
65,1966,18.69,21.17,23.51,26.44,28.27,28.25,27.42,27.02,25.99,24.51,22.05,18.94
66,1967,18.15,20.73,22.69,26.04,27.92,28.36,27.36,26.7,26.35,24.22,21.4,19.41
67,1968,17.52,18.98,23.18,25.89,27.77,28.24,27.12,26.9,26.61,24.32,21.56,19.2
68,1969,18.07,20.3,24.52,26.7,27.93,28.68,27.47,26.97,26.26,24.89,22.29,19.41
69,1970,18.72,20.39,23.28,27.17,28.71,27.86,27.25,26.84,26.31,24.81,21.32,18.52
70,1971,18.12,19.99,23.29,26.48,27.58,27.58,26.87,26.53,26.03,24.39,21.21,18.84
71,1972,18.4,18.73,23.43,25.85,28.08,28.7,27.37,26.76,26.26,24.27,21.91,19.46
72,1973,18.51,20.98,23.33,27.54,28.71,28.62,27.54,26.61,26.44,24.43,21.46,18.7
73,1974,17.79,19.28,23.91,27.01,27.81,27.89,27.07,26.91,26.21,24.65,21.31,18.17
74,1975,17.71,19.67,22.78,26.39,28.16,27.72,26.48,26.47,25.63,24.65,20.76,18.51
75,1976,18.2,19.54,22.98,25.92,27.94,27.86,27.34,26.21,26.08,24.92,22.47,19.35
76,1977,18.35,20.34,24.45,26.38,27.26,28.04,27.26,26.88,26.33,24.86,22.7,19.35
77,1978,18.14,19.76,22.46,26.44,28.92,28.42,27.04,26.8,26.23,24.94,22.18,19.53
78,1979,18.97,19.97,22.75,27.2,27.97,28.83,27.72,27.24,26.38,25.23,22.75,19.79
79,1980,18.81,20.47,23.24,27.55,28.94,28.25,27.33,26.93,26.55,25.12,22.15,19.23
80,1981,18.4,20.44,23.26,26.65,28.51,28.4,27.28,26.85,26.36,24.74,21.43,18.87
81,1982,18.76,19.52,22.37,26.15,27.72,28.2,27.68,26.98,26.4,24.89,21.84,19.33
82,1983,18.38,19.81,22.68,25.67,28.02,28.6,27.51,27.14,26.48,24.56,21.5,19.08
83,1984,18.28,19.42,23.98,26.66,28.88,28.43,26.94,27.17,25.83,24.65,21.47,19.34
84,1985,18.67,20.54,24.6,27.02,28.52,28.05,27.06,26.9,26.45,24.33,21.51,19.68
85,1986,18.24,20.0,23.53,26.53,27.75,28.19,27.3,26.75,26.43,24.48,21.89,19.38
86,1987,18.44,20.41,23.45,26.59,27.51,28.9,28.16,27.34,27.13,25.03,22.14,19.75
87,1988,18.58,20.83,23.51,26.6,28.6,28.37,27.12,26.91,26.48,24.79,21.63,19.64
88,1989,17.68,19.85,23.0,25.95,28.13,27.72,26.96,26.86,26.38,24.84,21.8,19.23
89,1990,18.56,20.33,22.79,26.15,27.71,28.11,27.06,26.99,26.55,24.51,22.08,19.78
90,1991,17.99,20.43,23.58,26.13,28.35,28.17,27.59,26.88,26.65,24.56,21.6,19.44
91,1992,18.36,19.77,22.95,26.21,27.75,28.4,27.31,26.78,26.11,24.7,22.01,19.42
92,1993,18.37,20.84,22.71,26.5,28.73,28.5,27.24,27.29,26.34,24.88,22.2,19.55
93,1994,19.33,20.2,24.14,26.04,28.72,28.56,27.34,27.01,26.31,24.56,22.06,19.3
94,1995,19.18,21.48,24.26,27.23,29.34,29.88,27.8,27.4,27.15,26.0,22.99,20.65
95,1996,19.81,21.73,25.13,26.67,28.37,28.08,27.42,26.77,26.64,24.5,21.81,18.96
96,1997,17.86,19.88,23.64,25.55,27.86,28.33,28.01,27.27,26.81,24.48,22.05,19.31
97,1998,18.84,20.6,22.98,27.0,29.18,28.88,27.78,27.42,26.7,25.27,22.48,19.21
98,1999,18.32,21.26,24.18,27.66,28.13,27.95,27.58,27.08,26.9,24.97,22.33,19.57
99,2000,18.87,19.78,23.22,27.27,28.92,28.02,27.34,26.98,26.53,25.58,22.75,19.66
100,2001,18.5,21.0,24.12,26.9,29.46,28.13,27.63,27.62,26.86,25.49,22.51,19.55
101,2002,18.78,20.52,24.44,27.66,29.56,28.77,28.47,27.27,26.43,25.44,23.17,19.87
102,2003,18.6,21.03,23.62,27.29,28.64,29.01,27.53,27.25,26.75,24.92,22.17,19.59
103,2004,18.83,21.03,26.19,27.38,28.12,27.94,27.44,27.16,26.8,24.34,22.43,19.93
104,2005,19.07,20.51,24.14,26.62,28.22,28.99,27.34,27.41,26.82,24.84,21.73,19.23
105,2006,19.96,23.02,23.91,26.83,28.82,28.13,27.92,27.15,26.42,25.41,22.59,19.99
106,2007,19.24,20.97,23.52,27.72,28.84,28.31,27.66,27.37,26.61,24.92,22.4,19.65
107,2008,18.49,19.83,24.43,26.54,28.42,28.1,27.5,27.0,26.44,25.47,22.51,20.62
108,2009,19.79,21.66,24.55,27.35,28.71,28.77,27.83,27.85,27.11,25.2,22.31,20.22
109,2010,19.15,21.23,26.53,28.4,29.19,28.51,27.55,27.33,26.6,25.58,22.98,19.22
110,2011,18.32,20.79,24.11,26.1,28.92,28.6,27.6,27.2,26.7,25.51,22.84,19.84
111,2012,18.25,20.43,23.98,26.89,28.72,28.91,27.98,27.31,26.65,24.85,22.26,19.91
112,2013,18.88,21.07,24.53,26.97,29.06,28.24,27.5,27.22,26.87,25.63,22.18,19.69
113,2014,18.81,20.35,23.34,26.91,28.45,29.42,28.07,27.42,26.61,25.38,22.53,19.5
114,2015,19.02,21.23,23.52,26.52,28.82,28.15,28.03,27.64,27.04,25.82,22.95,20.21
115,2016,20.92,23.58,26.61,29.56,30.41,29.7,28.18,28.17,27.72,26.81,23.9,21.89
116,2017,20.59,23.08,25.58,29.17,30.47,29.44,28.31,28.12,28.11,27.24,23.92,21.47
