ID,text,label
5JLVKXY3,I am involved in a Love affair and I would like to know hw can I control myself?,Depression
H9JJ8H3N,I waste money on alcohol,Alcohol
CGF1MPRY,What are the effects of smoking bhang?,Drugs
GUDI29F9,What are the best coping strategies to deal with stress?,Alcohol
W1E9KIF6," my sister oftenly faints, this troubles me",Depression
9U6OKPXX,Hopeless and how to get out of it,Depression
4XNB1V5E,I am depressed and want solitude,Depression
VHHH5F68,Is withdrawal from people helpful from commiting suicide?,Suicide
NHTQ6O30,i feel stressed,Depression
FHO1C5EF,Is there a peer counselling programme,Depression
7TYFSZHT,How to overcome alcoholism?,Alcohol
MO49SQRK,How can I stop taking alcohol?,Alcohol
JGF06QXV,I hate my life,Depression
2WAYPCEQ,I have given up with everything in life ,Depression
U9T40R7Q,Causes of suicide,Suicide
H7X049T2, im feeling stressed,Depression
CEAOWJOR,Why is the larger percentage of youths involved in alcoholism,Alcohol
BXPHSVEO,Where i get money for my needs…Where do I get money  for personal needs?,Depression
C7QD5SLH,How do i get better?,Depression
C4Q8W3C9,How to avoid the thoughts?,Suicide
Z5XWUAEQ,What is the reason for depression?,Depression
Y7B63LQT,Why do people think of commiting suicide?,Suicide
SGZIY718,What are the effects of drug consumption?,Drugs
QCIAO332,How do I overcome the feeling of being  weaker and weaker in thoughts,Depression
1A99866J,I feel horrible and unsatisfied,Depression
2K0PN69M,Ways of overcoming peer influence of alcoholism.,Alcohol
7X4ZSOCS,How do I stop taking alcohol? Do you recommend rehabilitation,Alcohol
YNB3JEUO,What will my mum think of me whren she finds out that I smoke weed?,Drugs
AP3VVFX6,Will alcohol lead me to a bad place in life,Alcohol
JPRV8I5J,Why do I suffer?,Suicide
L9NXPIEN,Depressed about broken relationship with a church pastor after having sex with his highschool daughter,Depression
7L9G3QJ9,Who can guide me whn depressed?,Depression
J55053XP,I am financially constrained over school fees and my  family background is not stable with a lot of debts…I have an elderly brother who could easily support me but has no job even after graduating,Depression
YMIV9TAR,stressed and overwhelmed by the many thingof lifeRight now I'm taking things easy,Depression
ROK05XD3,I feel very discouraged my self esteem went low,Depression
JOWFMRU7,"I feel unloved, unwanted",Depression
CPZ81QFJ,I need advise on how to avoid alcohol,Alcohol
1V9AWIGY,Does smoking make one cool?,Drugs
R0AW64SP,I feel depressed because of issues with my best friend and my parents I was at my lowest point being lowkey everyday,Depression
TD15L93X, I never feel like I am npt worth living,Depression
9QYAHRR5,feel so low and sad,Depression
NUCSE95E,Being left by the person i loved the most,Depression
8NNK7CZJ,I feel trapped,Depression
94N9JHU2,This are my loneliest moments,Depression
CZ0V545V,I was once depressed and I feel like giving up with my life,Depression
UUB5FREC,I tried asking how to stop the habit,Alcohol
LD2JTQWZ,what are ways of dealing with depression,Depression
DQXPXEQN,I want to be alone in no company of friends,Depression
PB50CNUF,I told myself to be strong enough,Depression
6QZH2CWL,"Lonely, isolated, very weak",Depression
JYHRF3IE,I feel helpless,Depression
NQL6BXUU,Is life this hard?,Depression
F5N4RU80,Why is it that my health is deteroriating?,Alcohol
KPWR5OTH,"I feel withdrawn,alone,stresssed sad",Depression
IO6PZ9Y1,How can I overcome suicide from heartbreak?,Suicide
F0I7GIGE,I feel desparate…why is the world so unfair,Depression
698A4P0J,I feel like the world is falling apart,Depression
WLEWY07N,Effects of alcohol in my life?,Alcohol
24NNBTL7,How to deal with hallucinations?,Drugs
1HA77QQ3," Sad, lonely and tired",Depression
YZWFPP8M,feel very lonelyI'm quite okay,Depression
A4BCYETH,I take alcohol for personal realization.,Alcohol
YIXKUJUC,how to quit alcohol?,Alcohol
NIAOYQXU,is life even worth it,Suicide
N2DJJ1XY,I feel that everything was coming to an end,Depression
XY588V2F,What are the effects of alcohol on our bodies,Alcohol
D64IPYOU,How to manage my relationship,Suicide
SAWSGYZB,What is the solution for feeling hopeless,Depression
0UNXTGLP,How can i motivate myself when feeling low,Depression
UTKO2AZD,Never sought assistance,Suicide
2ASR64M6,Is alcohol really harmful?,Alcohol
BGPNXEE0,What could i do to deal with frustrations?,Drugs
93HHN24Q,why some things happen over and over again,Suicide
MOVEQ145,I did not seek help,Suicide
ZHP9VVGC,Does weed do any  good?,Drugs
SA2FYD2A,I feel heart broken,Depression
WGML4P7B,If the person i wronged will forgive me and accept reconcilliation,Suicide
3GLOZPU4,"I feel like the world was against me, especially from friends and relatives who were close to me I conqured it that my life is more important",Depression
SMVFTBV1,The feeling was like alone in the world,Depression
8E412HHJ,"Sad,lonely",Depression
X0YHNC8N, I feel like giving up,Depression
KLX5TBWE, Is it childlish to feel depressed,Depression
ZFTOS18U,How can I shun from the same?,Depression
OM77C6FZ,Feeling relieved,Depression
NOXKH5TS,Whom will I approach when mentally disturbed?,Depression
37IG68E9,why do I always feel heartbroken all the time,Suicide
YDMU6CHX,I have experienced stress which led to depressionI had the issue handled,Depression
Q4R2NXGE,I fee sad and unwanted,Depression
WBGFUUCK,how can I be helped to come out of depression?,Depression
ZP5PTWOV,I feel sad,Depression
AAKPNVQO,I am broke and very  unpreparedness in exams,Depression
2JTGDT5L,What if I live in an isolated place?,Depression
UU3DHPUN,How i stop the behaviour of alcohol taking,Alcohol
ATO107VQ, how I can be able to handle my stress and not feel like taking away my life,Suicide
TBAG3V8T,"what could be the cause of my depression,how can I overcome it",Depression
6IGFTWHT,Can beer lead to any problem?,Alcohol
1AOWXKXV,How to stop?,Drugs
FAFZLNY4,I am in a financial crisis,Depression
SRK3NE8O,I have smoked weed and addidcted and need assistance?,Drugs
LGBXU9PN,Is alccohol the only form of entertainment for the young adults?,Alcohol
T8BIPMVF,I feel Sad,Depression
4VMEBNDV,I lost my father,Depression
2QRTGS6A,Why I needed to keep holding on to nothing. If my life really ahd a purpose,Suicide
E1NEHTU0,How to convince someone against commiting suicide,Suicide
019YKKY0,"I feel bad about myself, I dont want to interact with anyone",Depression
A04YR7N0,How to control my emotions. How to stop drinnking.,Alcohol
XBFD6MDZ,I feel so lowI feel good and better now,Depression
EK67UMY1,I feel like commiting suicide and need solutions to the problem which led to the depression,Depression
124Y7IO6,Financial issues,Depression
6XVOCUMI,How can i stop bhang?,Drugs
MIZ8T6M9,"How do I deal with depression,should I do?",Depression
3WINGR1Y,How can i stop taking alcohol,Alcohol
ZN43XFVV,I feel like nobody cares,Depression
4SB4B0B5, I have and the feeling I had was not very pleasing ,Depression
OLQHJ0PO,How should I overcome depression? Why must it be me?,Depression
UZFCOXZP,How can I stay without smoking?,Drugs
1M6N5OI2,How to stop the addiction?,Alcohol
BHG2VBMC,I feel like killing myself and killing the people who caused my depression,Depression
8BKND7CF,I almost gave up and got no assistance,Depression
8UAQNJAY,Am I addicted?,Alcohol
JFXSWJSP,Is alcohol helpful to ones health,Alcohol
57OCJ216,What is a permanent solution to depressed person?,Depression
D4PDKNYF,How to deal with the problems which can lead to suicide,Suicide
0TID986J,how to quit alcohol,Alcohol
V8L9C5XG,I am overwhelmed on how to deal with the issue below I am fine now,Depression
COHF4DEW," I feel severely depressed I withdraw from people, and prefer to be alone",Depression
GI46OIMU,I lost a bet with house rent,Depression
MVVH8XCA,I feel uneasy difficulty with life,Depression
BS8XRA3X,"I have feel sad and hopeless, not sure if that's depression",Depression
DP6D3EG6,Are there any helpful effects of bhang?,Drugs
V0C7LKYN,"I am very nervous and bothered, ",Depression
5272SYMK,Where can I find a rehabilitation center?,Drugs
PKIO2M1G," Suicidal thoughts, stress, hyper-arousal",Depression
PQP1IRYK,What are the main causes of excessive alcohol taking,Alcohol
9EJV3WJK,Why is life so difficult?,Suicide
SJ2J5OEL, I don't feel like talking to anyone,Depression
1IHTBDJ2,What can I do to be relieved?,Depression
LIHIU7DI,Main causes of depression and how to deal with them when they arise,Depression
U3T52WN4, I feel lonely and discouraged,Depression
52BWXOL8,SadI am good,Depression
KWNGKGHQ,I feel like life does not make sense,Depression
3MXZDXDL,How to limit myself from getting depressed,Depression
2KOGKZUF,"I feel like my life is done, no more joy in life",Depression
JZRQUUF1,The loss of my beloved father,Depression
48HYYYED,"Why do people take alcohol and how benefitial is it to their life, What should one do to avoid taking alcohol",Alcohol
PMFIIRXF,how can I make money,Depression
IW10CAAM,I feel lonely and  no one wanted to stay around me,Depression
E7BSF5F4,How can I stop using alcohol?,Alcohol
W6C11AZK, feeling unloved or unwanted and I dont deserve to be alive ,Depression
1ECHO6JY,How to overcome the frustration,Suicide
Q06DDJ1O,What are the causes of depression and the effects,Depression
J3ORYNFV,"I felt emotionally low and sad most of the time I feel better, stronger and happier now",Depression
WZ2MGVEF,I am financially  instable,Depression
QEMQKIIN,Why all this challenges had to come my way where no one thought of me,Suicide
9DOVTEWF,How to stop taking alcohol,Alcohol
EV19B9ZK,I am devastated and  angry at ather people,Depression
VVC47SJA,How can I stop?,Alcohol
79DO3BLF,What are the effects and how can i get rid of it,Alcohol
U26JDVW1,"I need help, who can help me manage my situation?",Depression
4HP750CC,How can I get financial sponsorship,Depression
ZZQSS6H4,what do I do  to avoid stress,Depression
DPRVXK1C,I feel sickly and lack appetite,Depression
LPXJIQ0F,"I feel like life is not good,since I had no one to talk to",Depression
XS8XILTW,what is the worst experience from alcohol,Alcohol
YOJA9LQH,Why depression occurs,Depression
IKLQJKBL,what should I do to stop alcoholism?,Alcohol
DMC1XK7H,"I felt sad,was stressed,lowi am now better",Depression
FIH2SDXX, My family split and I am deeply affected,Depression
SRN1G752,Loss of a close family member,Depression
HXYQVQWR,What are the means to avoid alcohol?,Alcohol
PNXEUYN8, Family issue,Depression
XWU3Z6IA,"What am I going to do to reconcile with parents,they have rejected me?",Depression
806HFIMM,How can i get out of depression in future,Depression
458NTYKE,"Had a problem with my personal looks,feel sad",Depression
530N0OSW,How can i stop alcohol?,Alcohol
HRDQXFHE,How can I overcome peer pressure,Alcohol
ETG5YAOK,I was depressed way back in highschool while looking for schoolfees,Depression
5HNNAWYU,What more is life?,Alcohol
5THWQBRK,Can I ever get back to my old person,Alcohol
8P56CL8S,Can I kill myself?,Depression
4V3L91FT,I do not find pleasure in doing things,Depression
F0NI9AOY,How can I overcome depression,Depression
A1TVAV77,What can I do not to get depressed?,Depression
O55WPPEO,Is there anything i can do to avoid  smoking weed?,Drugs
NO6BCAST,How can i stop drinking alcohol,Alcohol
W9HP80YU,I don't feel loved,Depression
ZI14LEQ6,Low and alone,Depression
DN5UJHKK,I am still thinking of getting back to alcohol,Alcohol
WI9JJNVI,How can I overcome the alcohol addiction,Alcohol
XBAYE2FN,Does drinking alcohol solve all your problems?,Alcohol
3J7JPGD7,I have low self esteem ,Depression
DJEL7KQ1,I am fearful of failure when I start drinking alcohol,Alcohol
OGX0QSGU,Can beer lead to any problem?,Alcohol
LMD13ZEK,I was much depressed and a lot of confusion,Depression
9LQLIVJN,"I really feel so down, disgusted and diserted, I feel more depresses and seeking for guidance",Depression
R0RZ3ISJ,"I feel lonely,how do I get out of this position",Depression
NM3JOH4T,"I feel so low sickly,I was lonelyCurrently feeling better after guidance and counselling",Depression
8BR3ZDDW,why do some people judge me too quickly and why do I fail in everything,Depression
1YK7RQ1V,I'm still depressed,Depression
5C7PZ719,How to help when you depressed?,Depression
Q7T5GJPT,"I feel withdrawn, how do I get over an ex?",Depression
UXMHC2DY,I am experiencing a challenge in raising my school fees and  it was not an easy task because of the family issues,Depression
8A0L8D4F,I feel alone and that everyone had deserted me when I need them the most,Depression
QJRZKSBF,I am an addict.,Alcohol
EXF1GZG5,How do I quit drinking excessive alcohol,Alcohol
4N0N95OJ,what exactly is depression,Depression
ZMXITBVW,How can i stop using alcohol and in what ways can it affect my future?,Alcohol
822XTUHN,why should I stop taking alcohol,Alcohol
PW3IHHIH,Why are most of my friends ignoring me? why is it I am going through much in life compared to others,Suicide
MFSIUMOQ,feel that life is unworthy,Depression
4WT396Z8,How can I quit alcoholism?,Alcohol
AXB45SPX,What are ways to quit bhang use?,Drugs
1ZFDUBIG, Fear of the future which is unpredictable and feelings of anxiety,Depression
AZ86LNQL,Should I ignore my friends?,Alcohol
D911LP0M, I am making efforts to quit but it is challenging,Drugs
X6ZOTZ9W,Should I go back to ex girlfriend?,Suicide
J6JW6ZKN, I feel like God had abandoned me or rather I am  not supposed to be born or existd,Depression
RCNR7KU0,what can I do with my life now,Depression
EFK2DMIY,How can i stop taking alcohol?,Alcohol
T6WTTRZR,How does someone commit suicide?,Suicide
A9YBOHVL,I feel lonely and sad,Depression
BVG5L5JW,I feel wasted and used by my GF ,Depression
QCRNZLUK,How can you come out from a depressing situation?,Depression
4HOGHNMY,Am i not a man enough?,Alcohol
YECHMD4P,How can I stop using alcohol?,Alcohol
OED97WAE,How do you get to the point of depression?,Depression
C23HZKC4,How will campus education be of help?,Depression
758KAJFQ,why am I thinking of suicide?,Suicide
X0WLSH74,Death of a beloved one,Depression
49OI9LFV,Does alcohol add value to me?,Alcohol
YWFB8BMK,"I Just want to sleep, relax, not consult anybody or a feel to see anybody",Depression
2KPKRR5Q,I feel sad and lost,Depression
W1OOD0X1,How better would I quit?,Drugs
MSEG1EUS,How can i cope up with the reality of financial distress?,Drugs
KR577F9W,What are the effects of bhang?,Drugs
N4WXTO2Z,How can I stop using alcohol?,Alcohol
NSKVDVTP,How to quit drinking completely?,Alcohol
BT009XFM,how can I overcome it?,Alcohol
KO08Y83E," Getting unexpected results, -dissatisfied, ",Depression
JHPJKYTB,I have relationship issues,Depression
BWX7DDGA,Is it possible to overcome depression,Depression
ML4Q1EUL,I feel suicidal but dont know who to talk to,Suicide
1FN3F19Z,Being financially unstable,Depression
SKQSS8U2,How can i get schoolfee to continue with my education,Depression
C4ZFBQCG,I feel bad and viewed life as negativecurrently am better,Depression
66S4DCDN,"I feel lost, unloved, used annd I just wanted to be alone",Depression
SLQD8WSJ,Is life really fair?,Suicide
AHEFY73G,How to cope with the situation,Alcohol
0KPI3LLQ,How to avoid bad company?,Alcohol
HYC7XX9D, hopeless,Depression
N5NIMS0Z,Hopeless ,Depression
4AEMAVSI,Why is alcohol sold along the school perimeter ,Alcohol
DQ0ZRCBG,What ways I would use to get rid of my messed up life?,Suicide
9KB39E0J,"how does it feel to drink,will I get addicted by drinking once",Alcohol
QNZTZXTG,how can I feel good about myself?,Depression
3NYXT52Q,What are  the effects of bhang to one health. Reasons why young people use bhang,Drugs
QNG7K64Y,how to avoid alcohol,Alcohol
SJ7CFS9T,What to do in order to heal,Suicide
KQFPSMHC,Can alcohol make me forget my problem temporarily?,Alcohol
TW5OZ0FT,I feel like I can't handle my thoughts,Depression
8B74B1L2,how can I overcome depression,Depression
TI7ZV4JN,What are the effects of alcohol on the liver,Alcohol
SODQJHO6,I feel like nothing mattered and everything was a messNow I feel like things matter,Depression
YPERKZ41,What are the effects of bhang?,Drugs
E5CV0MKI,I cannot raise money for my education,Depression
WYHWQWGQ,My relatives deny me…I wonder if I am part of my family?,Depression
PU0V70X8,How can one avoid depression?,Depression
QAA28H63,how can I overcome stress,Depression
PXYR9D4W,How do I make it go away?,Suicide
9XGSA7NA,What are the causes of depression?,Depression
I7DEVJAV,Is taking alcohol bad?,Alcohol
0HK6V5IQ,I am bored,Depression
5U9CA7JB,what is the cure for depression,Depression
JG53WKEQ,How can i feel better about myself,Depression
WV139P3G,Whats the meaning of life?,Depression
KTB98LYD,Why did my close relatives betray me?,Depression
G56ZI56J,I feel very lonely that no one could understand,Depression
43COYA4O,What is the benefit of alcohol,Alcohol
ZVE1876W,Should iI talk to my friends and peer counsellor about my depression ?,Depression
1NYXESRZ,how can I be helped to heal from depression,Depression
RFP8XV4M,I went through FGM when young even though I consented,Depression
68SJ8EY6, I feel like giving up in life,Depression
B2YVEKVV,how to get over depression,Depression
3PQMK4FM,How can I reduce my intake,Alcohol
F3UCEDHO,What are the causes of suicide,Suicide
NNJL1HJH,Why does one feel paranoid?,Drugs
0RLWLLGO,How can I stop this addiction,Alcohol
5QW8WM9C,Feelings of defeat(post exams depression)Motivated to do better,Depression
U8PFW5XV,I feel like calling off the semester,Depression
VDCJVJSQ,I asked God to take away the feeling since it was so strong,Suicide
QK0XURE8,What can i doto receive relief?,Alcohol
345EH7SW,I feel like giving up in life ,Depression
NWDQ09Y6,Why is alcohol manufactured?,Alcohol
AQXE8YUQ,I feel a lot of stress,Depression
2DQC65OW,I feel helpless,Depression
5MQ7A91J,How do I deal with  pessimistic thoughts,Depression
87074JKC,what are the causes of depression?,Depression
KVEYGOTJ,How to avoid and deal with the situation and how to respond to it,Suicide
LH9R1DBT,What makes my girlfriend cheat on me even after sacrificing everything for her sake,Suicide
2NXFMOKE,I feel overwhelmed with many thoughts to deal ,Depression
BJLZVXMC,I feel alone and unwanted by people around me,Depression
HSE1ZTR9,How to stop thinking about suicide,Suicide
3PJWHC2U,I feel like my life was being wasted,Depression
SDPWD1PN,how to quit the habit,Alcohol
6O89B9EY,Defering from classes because of finacial constraints,Depression
T7JBP0IC,How do I seek for assistance with depression?,Depression
1961MJ2S,I am dealing with  boredom,Depression
4OESQ1EK,Is there any importance of living again? Why live with no love from those who surround you?,Suicide
X8O9GH1U,The way to stop addiction,Alcohol
LADM6UFA,"how will I overcome it,I had an issue with my results and feel so depressed",Depression
QOFKBPUS,I was dumped and how long should I stay single or sould I jump into another  relationship?t,Depression
URI1V0R3,I feel heartbroken,Depression
M2JMY4OO,Alcohol is caused by what issues and why?,Alcohol
G44KLZZ4,How can I  get rid of depression,Depression
JRZYO5O8,what is this I am experiencing I didn’t know it was depression,Depression
3M7810JM,Can I get help?,Suicide
MADILFL0,I asked if alcohol was a right solution to problems,Alcohol
2QC3W148,I feel hopeless and wanting to give up,Depression
WSAVYFFX,"When someone is depressed he/she feels down, discouraged and alone I feel out of this place, lonely and discouraged",Depression
SEBOGNIF,Ways of distracting myself,Suicide
W907767X,I am sad,Depression
HE9RC42N,Why am I depressed?,Depression
I8ZPACQI,Is suicide the solution?,Suicide
DAYJJ61Y,I  feel so low and demotivated I am now okay and happy in life,Depression
RYJ3OZ9F,how could I deal with the situation that was disturbing me,Depression
8ABCNKW4,I am depressed because of the death of my uncle who provided for my basic needs,Depression
DY1JKMGM,is it really true that weed makes one mad?,Drugs
JAN18LES,Is it normal to feel depressed?,Depression
FCE44MSH,What is the meaning of life?,Suicide
F8W8NSJJ,I have a feeling of emptiness and alone,Depression
Q5E4HDTA,How can I stop the drinking habit?,Alcohol
73NZU7G2,I want to give up,Depression
22RORUIT,I was felling stressed and low. How can I cope with the situation,Depression
S116D8SI,I take alcohol for stress management.,Alcohol
3X9HWVR4,Why am I depressed?,Depression
JM5OPG3I,What are the causes of depression,Depression
PJLYRD1P,What are the coping mechanisms and prevention of depression,Depression
QQL0MAIX,How can I quit alcoholism,Alcohol
OMRH3DVV,Is alcohol harmful to my health,Alcohol
9DNFBSL2,"If one looses a close relative, what advice could she be given?",Depression
PTGL895A,Is alcohol a good stress remover?,Alcohol
I3I44B31,I am lonely,Depression
6V3ZR95L,I lack interest in my life,Depression
